M,Y,State,Administered_Dose1_Pop_Pct,Administered_Cumulative,new_case,new_death,tot_cases
01,2022,DE,78.3,1623137,1515,0,188824
01,2022,FL,75.9,34465730,51220,63,4385074
01,2022,GA,62.7,13671780,47436,0,1887315
01,2022,GU,86.7,313283,210,0,19899
01,2022,HI,83.9,2615678,2930,0,118330
01,2022,IA,65.7,4695332,5038,0,587386
01,2022,ID,58.7,2251763,1420,7,320802
01,2022,IL,72.4,20187144,57734,195,2238743
01,2022,IN,58.5,8662890,31431,47,1278285
01,2022,KS,71.2,4213437,14855,43,534399
01,2022,KY,63.6,6013972,4212,22,890455
01,2022,LA,58.6,5761483,31161,15,859856
01,2022,MA,91.8,13237970,33090,42,1173704
01,2022,MD,82.2,10772949,14927,28,762022
01,2022,ME,86.8,2560785,1400,25,157092
01,2022,MI,64.5,14489222,65597,151,1775868
01,2022,MN,72.2,9316963,6774,48,1028986
01,2022,MO,63.3,8201222,27692,12,1034605
01,2022,MP,84.3,97555,95,1,3392
01,2022,MS,57.1,3573522,17525,5,561262
01,2022,MT,63,1475563,796,2,198520
01,2022,NC,78.5,15279470,12804,41,1743594
01,2022,ND,63,1026504,1587,3,176329
01,2022,NE,67.7,2944733,1425,3,344364
01,2022,NH,83.1,2267664,5082,12,203749
01,2022,NJ,85.2,15379654,21743,17,1644839
01,2022,NM,82.3,3517452,7437,11,357480
01,2022,NV,70.9,4419421,13163,8,514344
01,2022,NY,85.4,35073889,22452,56,2009686
01,2022,OH,61.3,16325318,18942,0,2072663
01,2022,OK,67.4,5418945,12023,0,720961
01,2022,OR,74.9,6974791,9668,11,430931
01,2022,PA,80,20850106,17390,84,2094614
01,2022,PR,90.1,6249824,6597,8,304985
01,2022,PW,88.2,37550,2,0,18
01,2022,RI,91.4,2004418,2304,3,229664
01,2022,SC,64.5,6903524,9598,2,1009382
01,2022,SD,72.4,1285847,779,8,179983
01,2022,TN,60,9220089,7543,21,1452412
01,2022,TX,68.7,41987875,60875,245,4745139
01,2022,UT,69.1,4752041,14754,17,651746
01,2022,VA,81.8,14967118,42931,23,1176169
01,2022,VI,61.4,133124,184,0,10290
01,2022,VT,90.3,1288241,216,0,61925
01,2022,WA,77.4,12936446,5588,0,880539
01,2022,WI,69.1,9300504,11692,12,1132361
01,2022,WV,62.9,2539402,9164,20,337326
01,2022,WY,56.4,698802,1005,0,116643
01,2021,AK,3.5,26530,214,1,46912
01,2021,AL,1.2,58786,5522,95,375950
01,2021,AR,2.2,68011,1306,51,234781
01,2021,AS,2.4,1083,0,0,3
01,2021,AZ,1.8,134890,5161,3,561906
01,2021,CA,1.7,665216,18442,-14,2409703
01,2021,CO,2.6,152562,2067,10,355979
01,2021,CT,2.7,97098,4516,69,194636
01,2021,DC,1.7,25757,140,3,29904
01,2021,DE,1.8,19401,900,7,60893
01,2021,FL,1.7,389774,15239,159,1360579
01,2021,GA,1.3,140552,5163,7,696063
01,2021,GU,3.3,5782,13,1,7357
01,2021,HI,2.8,40451,75,0,21614
01,2021,IA,2.2,71322,1098,46,285476
01,2021,ID,1.7,32013,798,11,143305
01,2021,IL,1.9,246639,5059,90,984880
01,2021,IN,2.1,149496,3629,39,529949
01,2021,KS,2.3,66010,3572,18,231317
01,2021,KY,2.3,91050,2358,50,284895
01,2021,LA,1.5,73199,1123,48,322181
01,2021,MA,2.3,159124,4906,65,392568
01,2021,MD,1.8,103790,2483,44,287802
01,2021,ME,2.9,40573,443,9,27402
01,2021,MI,1.9,194356,3981,73,600622
01,2021,MN,2.1,123052,3144,13,423688
01,2021,MO,1.9,128213,6513,47,462534
01,2021,MP,6,3095,2,0,124
01,2021,MS,1.2,35144,1838,52,228774
01,2021,MT,3,33843,283,3,82664
01,2021,NC,1.6,165445,4799,83,576977
01,2021,ND,3.5,27625,0,0,93240
01,2021,NE,2.9,58414,1061,10,170287
01,2021,NH,2.6,33533,878,1,47328
01,2021,NJ,1.8,147725,2496,36,546091
01,2021,NM,3.4,71646,921,22,147315
01,2021,NV,1.5,47825,1414,23,233032
01,2021,NY,1.9,420178,7483,127,584715
01,2021,OH,1.9,230177,5942,67,727423
01,2021,OK,2.7,108815,2775,48,337128
01,2021,OR,2,86886,708,6,118453
01,2021,PA,2,256459,3636,66,673438
01,2021,PR,2.6,89526,277,13,81409
01,2021,PW,0.6,118,0,0,0
01,2021,RI,3,32368,634,16,88430
01,2021,SC,1.3,72922,3891,15,338204
01,2021,SD,4,35088,111,0,100643
01,2021,TN,3,224422,3505,55,602896
01,2021,TX,2.2,673941,18182,328,1811523
01,2021,UT,2.2,71986,2160,4,285633
01,2021,VA,2,186354,4377,59,371913
01,2021,VI,1.6,1722,13,1,2055
01,2021,VT,3.4,22399,78,3,7378
01,2021,WA,2,161990,1925,23,255361
01,2021,WI,1.8,108312,1626,8,527871
01,2021,WV,3.7,75822,828,20,91886
01,2021,WY,2,11540,372,0,45247
01,2022,AK,67.4,1055382,0,0,154369
01,2022,AL,60.4,5828599,11903,19,935006
01,2022,AR,64,3902224,6562,27,581134
